@context,@type,name,image,description,url,sku,category,color,weight,offers,gtin13,brand.@type,brand.name,brand.image,brand.url,aggregateRating.@type,aggregateRating.ratingValue,aggregateRating.reviewCount,potentialAction.@type,potentialAction.name
https://schema.org,Product,Trail 25 Pack - Men's,https://www.rei.com/media/product/168484,"Sized just right for day hikes, commuting and carry-on travel, the men's REI Co-op Trail 25 pack holds plenty of gear, keeps it well organized and rides light and comfy on your back.",https://www.rei.com/product/168484/rei-co-op-trail-25-pack-mens,168484,Daypacks,"['Black', 'Indigo', 'Dark Red']",2 lbs.,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684840001', 'url': 'https://www.rei.com/product/168484/rei-co-op-trail-25-pack-mens', 'priceValidUntil': '2021-04-29', 'sku': '1684840001', 'price': '79.95', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684840002', 'url': 'https://www.rei.com/product/168484/rei-co-op-trail-25-pack-mens', 'priceValidUntil': '2021-04-29', 'sku': '1684840002', 'price': '79.95', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684840003', 'url': 'https://www.rei.com/product/168484/rei-co-op-trail-25-pack-mens', 'priceValidUntil': '2021-04-29', 'sku': '1684840003', 'price': '79.95', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}]","['0416848400016', '0416848400023', '0416848400030']",Brand,REI Co-op,https://satchel.rei.com/media/img/brand-logos/959.gif,https://www.rei.com/b/rei-co-op,AggregateRating,4.8,70,,
https://schema.org,Product,Trail 25 Pack - Women's,https://www.rei.com/media/product/168486,"Light and comfy on your back, the women’s REI Co-op Trail 25 pack holds plenty of gear and keeps it well organized for day hikes, commuting and carry-on travel.",https://www.rei.com/product/168486/rei-co-op-trail-25-pack-womens,168486,Daypacks,"['Rust Marsala', 'Frosted Meadow', 'Black']",1 lb. 15 oz.,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684860001', 'url': 'https://www.rei.com/product/168486/rei-co-op-trail-25-pack-womens', 'priceValidUntil': '2021-04-28', 'sku': '1684860001', 'price': '79.95', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684860002', 'url': 'https://www.rei.com/product/168486/rei-co-op-trail-25-pack-womens', 'priceValidUntil': '2021-04-28', 'sku': '1684860002', 'price': '79.95', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684860003', 'url': 'https://www.rei.com/product/168486/rei-co-op-trail-25-pack-womens', 'priceValidUntil': '2021-04-28', 'sku': '1684860003', 'price': '79.95', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}]","['0416848600010', '0416848600034', '0416848600027']",Brand,REI Co-op,https://satchel.rei.com/media/img/brand-logos/959.gif,https://www.rei.com/b/rei-co-op,AggregateRating,4.7,51,,
https://schema.org,Product,Stout 65 Pack - Men's,,"Heading into the backcountry or hopping on a train to the next hostel? Either way, you'll love the dialed comfort and cool, customized fit of the Gregory Stout 65 men's pack.",https://www.rei.com/rei-garage/product/190107/gregory-stout-65-pack-mens,,,,,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1901070001', 'sku': '1901070001', 'price': '132.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1901070002', 'sku': '1901070002', 'price': '132.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}]",['0419010700013'],Brand,Gregory,https://satchel.rei.com/media/img/brand-logos/497.gif,https://www.rei.com/rei-garage/b/gregory,AggregateRating,4.5,21,,
https://schema.org,Product,Trail 40 Pack - Men's,https://www.rei.com/media/product/168485,"Built for comfort, the REI Co-op Trail 40 pack holds plenty of gear for day hikes, overnights and travel. It gives you easy access to your stuff and has tons of handy organizer pockets. ",https://www.rei.com/product/168485/rei-co-op-trail-40-pack-mens,168485,Daypacks,"['Rustic Gold', 'Black', 'Indigo']",3 lbs.,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684850001', 'url': 'https://www.rei.com/product/168485/rei-co-op-trail-40-pack-mens', 'priceValidUntil': '2021-04-28', 'sku': '1684850001', 'price': '129.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684850002', 'url': 'https://www.rei.com/product/168485/rei-co-op-trail-40-pack-mens', 'priceValidUntil': '2021-04-28', 'sku': '1684850002', 'price': '129.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684850003', 'url': 'https://www.rei.com/product/168485/rei-co-op-trail-40-pack-mens', 'priceValidUntil': '2021-04-28', 'sku': '1684850003', 'price': '129.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684850004', 'url': 'https://www.rei.com/product/168485/rei-co-op-trail-40-pack-mens', 'priceValidUntil': '2021-04-28', 'sku': '1684850004', 'price': '129.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684850005', 'url': 'https://www.rei.com/product/168485/rei-co-op-trail-40-pack-mens', 'priceValidUntil': '2021-04-28', 'sku': '1684850005', 'price': '129.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684850006', 'url': 'https://www.rei.com/product/168485/rei-co-op-trail-40-pack-mens', 'priceValidUntil': '2021-04-28', 'sku': '1684850006', 'price': '129.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}]","['0416848500051', '0416848500020', '0416848500044', '0416848500013', '0416848500068', '0416848500037']",Brand,REI Co-op,https://satchel.rei.com/media/img/brand-logos/959.gif,https://www.rei.com/b/rei-co-op,AggregateRating,4.8,32,,
https://schema.org,Product,Trailbreak 60 Pack - Men's,https://www.rei.com/media/product/168251,"Roomy enough for a weekend and comfortable enough for long hikes, the men's REI Co-op Trailbreak 60 pack is built to last for years, and then you can hand it down—it adjusts to fit most bodies.",https://www.rei.com/product/168251/rei-co-op-trailbreak-60-pack-mens,168251,Backpacking Packs,"['Tumbleweed', 'Indigo']",3 lbs. 13 oz.,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1682510001', 'url': 'https://www.rei.com/product/168251/rei-co-op-trailbreak-60-pack-mens', 'priceValidUntil': '2021-04-28', 'sku': '1682510001', 'price': '149.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1682510002', 'url': 'https://www.rei.com/product/168251/rei-co-op-trailbreak-60-pack-mens', 'priceValidUntil': '2021-04-28', 'sku': '1682510002', 'price': '149.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}]","['0416825100021', '0416825100014']",Brand,REI Co-op,https://satchel.rei.com/media/img/brand-logos/959.gif,https://www.rei.com/b/rei-co-op,AggregateRating,4.7,14,,
https://schema.org,Product,Daylite Pack,https://www.rei.com/media/product/186382,"Reach for the Osprey Daylite pack whenever you're running everyday errands, heading out of town or just jetting out for a quick hike. It's lightweight, simple, durable and comfortable.",https://www.rei.com/product/186382/osprey-daylite-pack,186382,Daypacks,"['Cosmic Red', 'Plant Print', 'Dream Purple', 'Teakwood Yellow', 'Black', 'Aluminum Grey', 'Wave Blue']",1 lb. 1 oz.,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1863820001', 'url': 'https://www.rei.com/product/186382/osprey-daylite-pack', 'priceValidUntil': '2021-04-28', 'sku': '1863820001', 'price': '60.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1863820002', 'url': 'https://www.rei.com/product/186382/osprey-daylite-pack', 'priceValidUntil': '2021-04-28', 'sku': '1863820002', 'price': '60.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1863820003', 'url': 'https://www.rei.com/product/186382/osprey-daylite-pack', 'priceValidUntil': '2021-04-28', 'sku': '1863820003', 'price': '60.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1863820004', 'url': 'https://www.rei.com/product/186382/osprey-daylite-pack', 'priceValidUntil': '2021-04-28', 'sku': '1863820004', 'price': '60.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1863820005', 'url': 'https://www.rei.com/product/186382/osprey-daylite-pack', 'priceValidUntil': '2021-04-28', 'sku': '1863820005', 'price': '60.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1863820006', 'url': 'https://www.rei.com/product/186382/osprey-daylite-pack', 'priceValidUntil': '2021-04-28', 'sku': '1863820006', 'price': '60.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1863820007', 'url': 'https://www.rei.com/product/186382/osprey-daylite-pack', 'priceValidUntil': '2021-04-28', 'sku': '1863820007', 'price': '60.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1863820008', 'url': 'https://www.rei.com/product/186382/osprey-daylite-pack', 'priceValidUntil': '2021-04-28', 'sku': '1863820008', 'price': '60.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/OutOfStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1863820009', 'url': 'https://www.rei.com/product/186382/osprey-daylite-pack', 'priceValidUntil': '2021-04-28', 'sku': '1863820009', 'price': '60.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/OutOfStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1863820010', 'url': 'https://www.rei.com/product/186382/osprey-daylite-pack', 'priceValidUntil': '2021-04-28', 'sku': '1863820010', 'price': '60.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/OutOfStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}]","['0843820109900', '0843820125153', '0843820112474', '0843820112375', '0843820112399', '0843820112498', '0843820125115', '0843820112412', '0843820125139', '0843820112436']",Brand,Osprey,https://satchel.rei.com/media/img/brand-logos/10218.gif,https://www.rei.com/b/osprey,AggregateRating,4.2,5,,
https://schema.org,Product,Trail 40 Pack - Women's,https://www.rei.com/media/product/168487,"Ideal for day hikes, overnights and travel, the strong and comfortable women's REI Co-op Trail 40 pack offers easy access to your gear, tons of organizer pockets and a comfortable carry.",https://www.rei.com/product/168487/rei-co-op-trail-40-pack-womens,168487,Daypacks,"['Odyssey Gray', 'Tapenade', 'Black', 'Evergreen']",2 lbs. 13 oz.,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684870001', 'url': 'https://www.rei.com/product/168487/rei-co-op-trail-40-pack-womens', 'priceValidUntil': '2021-04-28', 'sku': '1684870001', 'price': '129.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684870002', 'url': 'https://www.rei.com/product/168487/rei-co-op-trail-40-pack-womens', 'priceValidUntil': '2021-04-28', 'sku': '1684870002', 'price': '129.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684870003', 'url': 'https://www.rei.com/product/168487/rei-co-op-trail-40-pack-womens', 'priceValidUntil': '2021-04-28', 'sku': '1684870003', 'price': '129.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684870004', 'url': 'https://www.rei.com/product/168487/rei-co-op-trail-40-pack-womens', 'priceValidUntil': '2021-04-28', 'sku': '1684870004', 'price': '129.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684870005', 'url': 'https://www.rei.com/product/168487/rei-co-op-trail-40-pack-womens', 'priceValidUntil': '2021-04-28', 'sku': '1684870005', 'price': '129.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684870006', 'url': 'https://www.rei.com/product/168487/rei-co-op-trail-40-pack-womens', 'priceValidUntil': '2021-04-28', 'sku': '1684870006', 'price': '129.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684870007', 'url': 'https://www.rei.com/product/168487/rei-co-op-trail-40-pack-womens', 'priceValidUntil': '2021-04-28', 'sku': '1684870007', 'price': '129.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684870008', 'url': 'https://www.rei.com/product/168487/rei-co-op-trail-40-pack-womens', 'priceValidUntil': '2021-04-28', 'sku': '1684870008', 'price': '129.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}]","['0416848700017', '0416848700048', '0416848700031', '0416848700086', '0416848700062', '0416848700024', '0416848700079', '0416848700055']",Brand,REI Co-op,https://satchel.rei.com/media/img/brand-logos/959.gif,https://www.rei.com/b/rei-co-op,AggregateRating,4.6,23,,
https://schema.org,Product,Amber 44 Pack - Women's,,Spend a weekend on the trails with the streamlined Gregory Amber 44 women's pack. Adjustable suspension makes it comfortable to carry loads big or small and a steel frame makes it move with you.,https://www.rei.com/rei-garage/product/190103/gregory-amber-44-pack-womens,,,,,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1901030001', 'sku': '1901030001', 'price': '117.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1901030002', 'sku': '1901030002', 'price': '117.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}]","['0419010300015', '0419010300022']",Brand,Gregory,https://satchel.rei.com/media/img/brand-logos/497.gif,https://www.rei.com/rei-garage/b/gregory,AggregateRating,4.4,8,,
https://schema.org,Product,Terra 65 Pack,,"The go-to pack for experienced backpackers, The North Face Terra 65-liter pack has an easy-to-use OPTIFIT™ suspension system for a comfortable, secure fit that endures on weekend trips and beyond.",https://www.rei.com/rei-garage/product/197079/the-north-face-terra-65-pack,,,,,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1970790001', 'sku': '1970790001', 'price': '126.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}]",['0194113138962'],Brand,The North Face,https://satchel.rei.com/media/img/brand-logos/1230.gif,https://www.rei.com/rei-garage/b/the-north-face,AggregateRating,4.7,3,,
https://schema.org,Product,Tarn 18 Pack - Kids',https://www.rei.com/media/product/168502,"Turn your aspiring young hiker loose on the trail with the durable REI Co-op Tarn 18 daypack. They'll love the kid-specific comfort, thoughtful design and variety of pockets.",https://www.rei.com/product/168502/rei-co-op-tarn-18-pack-kids,168502,Daypacks,"['Indigo', 'Dark Red']",17 ounces,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1685020001', 'url': 'https://www.rei.com/product/168502/rei-co-op-tarn-18-pack-kids', 'priceValidUntil': '2021-04-28', 'sku': '1685020001', 'price': '44.95', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1685020002', 'url': 'https://www.rei.com/product/168502/rei-co-op-tarn-18-pack-kids', 'priceValidUntil': '2021-04-28', 'sku': '1685020002', 'price': '44.95', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'seller': {'name': 'REI', '@type': 'Organization'}}]","['0416850200024', '0416850200017']",Brand,REI Co-op,https://satchel.rei.com/media/img/brand-logos/959.gif,https://www.rei.com/b/rei-co-op,AggregateRating,4.7,33,,
